index/_index,index/_id,id,collection_id,recommendation_id,title,handle,category,body,image_url,min_price,max_price,option1_name,option1_values,option1_values ,option1_values ,option1_values,option1_values,option2_name,option2_values,option2_values ,option2_values ,option2_values,option2_values,option3_name,option3_values,option3_values ,option3_values ,option3_values,option3_values,option4_name,option4_values,option4_values,option5_name,option5_values,option5_values,option6_name,option6_values,colors ,colors,colors,colors ,colors ,tags
test-products-schema,tt457695404563,id457695404563,collect801544455200,rec615759074521,Clay Plant Pot,clay-plant-pot,Home and Garden,<p>Classic blown clay pot for plants</p>,https://burst.shopifycdn.com/photos/pot-with-a-single-sprout_925x.jpg,23018,29678,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"Pot,Plants"
test-products-schema,tt296089512767,id296089512767,collect143347644886,rec978239475082,Clay Plant Pot,clay-plant-pot,Home and Garden,,https://burst.shopifycdn.com/photos/pot-with-a-single-sprout_925x.jpg,1748,38997,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,
test-products-schema,tt322128925098,id322128925098,collect885119919055,rec608295612007,Copper Light,copper-light,Home and Garden,<p>Stylish copper bedside light</p>,https://burst.shopifycdn.com/photos/copper-light-in-bedroom_925x.jpg,36188,1070,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"Copper,Bedroom"
test-products-schema,tt567075296154,id567075296154,collect622804702959,rec658822545592,Cream Sofa,cream-sofa,Home and Garden,<p>Comfortable cream sofa with wooden base</p>,https://burst.shopifycdn.com/photos/condominium-interior-livingroom_925x.jpg,77157,29765,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"Couch,Wood"
test-products-schema,tt212848609966,id212848609966,collect637699472614,rec795434053459,Antique Drawers,antique-drawers,Home and Garden,<p>Antique wooden chest of drawers</p>,https://burst.shopifycdn.com/photos/babys-room_925x.jpg,17145,37285,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"Antique,Bedroom"
test-products-schema,tt385652141014,id385652141014,collect918828328166,rec797294412354,White Bed Clothes,white-bed-clothes,Home and Garden,<p>Sleek white bed clothes</p>,https://burst.shopifycdn.com/photos/bright-hotel-room-bed_925x.jpg,80448,66947,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,Bed
test-products-schema,tt892360540279,id892360540279,collect410198304874,rec279447263217,Pink Armchair,pink-armchair,Home and Garden,<p>Stylish pink armchair</p>,https://burst.shopifycdn.com/photos/soft-pink-cushioned-armchair-in-stately-salon_925x.jpg,24897,86073,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,Chair
test-products-schema,tt519146852206,id519146852206,collect610643150838,rec106006987705,Wooden Outdoor Table,wooden-outdoor-table,Home and Garden,<p>Chic wooden outdoor garden table</p>,https://burst.shopifycdn.com/photos/cafe-patio_925x.jpg,53090,2359,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"Wood,Garden"
test-products-schema,tt614894543624,id614894543624,collect560038519933,rec912690465668,Brown Throw Pillows,brown-throw-pillows,Home and Garden,<p>Stylish brown throw pillows</p>,https://burst.shopifycdn.com/photos/bedroom-bed-with-brown-throw-pillows_925x.jpg,29745,93857,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,Pillows
test-products-schema,tt941770291922,id941770291922,collect603884146130,rec479793318725,White Ceramic Pot,white-ceramic-pot,Home and Garden,<p>Homemade white ceramic flower pot</p>,https://burst.shopifycdn.com/photos/house-plant-in-white-pot_925x.jpg,17248,27832,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"Pot,Plants"
