index/_index,index/_id,id,collection_id,recommendation_id,title,handle,category,body,image_url,min_price,max_price,option1_name,option1_values,option1_values ,option1_values ,option1_values,option1_values,option2_name,option2_values,option2_values ,option2_values ,option2_values,option2_values,option3_name,option3_values,option3_values ,option3_values ,option3_values,option3_values,option4_name,option4_values,option4_values,option5_name,option5_values,option5_values,option6_name,option6_values,colors ,colors,colors,colors ,colors ,tags
test-products-schema,tt700761527000,id215929509837,collect201323722042,rec255111189436,7 シャクラブレスレット,chain-bracelet,ブレスレット,"7 chakra bracelet, in blue or black.",https://burst.shopifycdn.com/photos/7-chakra-bracelet_925x.jpg,99448,89637,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,ビーズ
test-products-schema,tt895860841556,id627928608743,collect572973419232,rec481868523832,8 シャクラ ブレスレット,chain-bracelet,ブレスレット,,https://burst.shopifycdn.com/photos/navy-blue-chakra-bracelet_925x.jpg,44834,50938,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
test-products-schema,tt640628804571,id563839184132,collect418142851116,rec357308750104,アンカー ブレスレット メンズ,leather-anchor,ブレスレット,Black leather bracelet with gold or silver anchor for men.,https://burst.shopifycdn.com/photos/anchor-bracelet-mens_925x.jpg,16878,86280,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,アンカー、ゴールド、レザー、シルバー
test-products-schema,tt555127486685,id529149851620,collect793328126745,rec260361886867,アンカー ブレスレット メンズ,leather-anchor,ブレスレット,,https://burst.shopifycdn.com/photos/anchor-bracelet-for-men_925x.jpg,12182,60692,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
test-products-schema,tt923823250867,id211382680763,collect546778162535,rec411596495053,アンカー ブレスレット メンズ,leather-anchor,ブレスレット,,https://burst.shopifycdn.com/photos/leather-anchor-bracelet-for-men_925x.jpg,42646,24021,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
test-products-schema,tt255955239595,id196863296167,collect118369762765,rec444062558189,バングル ブレスレット,bangle-bracelet,ブレスレット,Gold bangle bracelet with studded jewels.,https://burst.shopifycdn.com/photos/bangle-bracelet-with-jewels_925x.jpg,28706,70841,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,ダイヤモンド、宝石、ゴールド
test-products-schema,tt858950530029,id658328035585,collect406577337055,rec904056740878,ボヘミアン バングル ブレスレット,bangle-bracelet-with-feathers,ブレスレット,Gold boho bangle bracelet with multicolor tassels.,https://burst.shopifycdn.com/photos/bangle-bracelet-with-feathers_925x.jpg,45506,38344,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,金
test-products-schema,tt546936226620,id952117356812,collect568312282387,rec415977256969,ボヘミアン イヤリング,boho-earrings,イヤリング,Turquoise globe earrings on 14k gold hooks.,https://burst.shopifycdn.com/photos/boho-earrings_925x.jpg,46246,52010,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,シルバー、ターコイズ
test-products-schema,tt262998871466,id337086368097,collect542641824539,rec501334483600,バングル ブレスレット,bangle-bracelet,ブレスレット,,https://burst.shopifycdn.com/photos/inspired-woman_925x.jpg,11377,35390,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
test-products-schema,tt702067444123,id471255164938,collect307471171438,rec369942724652,ボヘミアン バングル ブレスレット,bangle-bracelet-with-feathers,ブレスレット,,https://burst.shopifycdn.com/photos/necklace-earrings-set_925x.jpg,96475,63463,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
test-products-schema,tt561413062028,id120766446502,collect405030980039,rec181328938192,ビーズ付きチョーカー,choker-with-bead,ネックレス,Black choker necklace with 14k gold bead.,https://burst.shopifycdn.com/photos/black-choker-with-bead_925x.jpg,14709,60846,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,ゴールド、レザー
test-products-schema,tt513439479466,id847320758557,collect557222975405,rec630920653879,ビーズ付きチョーカー,choker-with-bead,ネックレス,,https://burst.shopifycdn.com/photos/choker-with-bead_925x.jpg,69940,33481,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
